Date,Visitor.Team,Visitor.Rushing.Yards,Visitor.Rushing.Attempts,Visitor.Passing.Yards,Visitor.Passing.Attempts,Visitor.Passing.Completions,Visitor.Penalties,Visitor.Penalty.Yards,Visitor.Fumbles.Lost,Visitor.Interceptions.Thrown,Visitor.1st.Downs,Visitor.3rd.Down.Attempts,Visitor.3rd.Down.Conversions,Visitor.4th.Down.Attempts,Visitor.4th.Down.conversions,Visitor.Time.of.Possession,Visitor.Score,Home.Team,Home.Rushing.Yards,Home.Rushing.Attempts,Home.Passing.Yards,Home.Passing.Attempts,Home.Passing.Completions,Home.Penalties,Home.Penalty.Yards,Home.Fumbles.Lost,Home.Interceptions.Thrown,Home.1st.Downs,Home.3rd.Down.Attempts,Home.3rd.Down.Conversions,Home.4th.Down.Attempts,Home.4th.Down.conversions,Home.Time.of.Possession,Home.Score
10/7/2006, Maryland,87,35,190,24,16,4,44,1,1,4,13,4,3,1,1733,23, Georgia Tech,229,43,161,26,13,6,47,1,0,8,14,8,1,0,1867,27
10/7/2006, Memphis,77,27,303,30,22,4,40,1,1,6,12,6,1,0,1613,29, UAB,279,50,134,20,12,5,45,0,2,14,13,7,1,1,1977,35
10/7/2006, Michigan State,60,26,252,35,20,11,87,0,2,5,15,7,3,2,1655,13, Michigan,211,42,140,17,11,3,25,0,0,11,10,3,1,0,1945,31
10/7/2006, Missouri,133,40,173,22,15,7,60,0,1,6,13,7,1,0,1781,38, Texas Tech,78,16,378,61,44,8,64,3,2,6,12,4,5,3,1819,21
10/7/2006, North Carolina,58,28,186,36,13,5,45,1,2,4,14,5,1,1,1821,7, Miami (Florida),144,31,180,26,15,6,72,0,0,5,14,4,0,0,1779,27
10/7/2006, Nebraska,251,45,131,21,17,7,70,1,0,11,12,5,0,0,2215,28, Iowa State,53,24,262,39,18,6,45,0,1,2,12,4,3,0,1385,14
10/7/2006, UNLV,52,22,198,38,19,4,30,0,1,2,13,1,4,1,1426,7, Colorado State,130,43,257,28,23,7,70,1,0,12,15,8,2,1,2174,28
10/7/2006, Nevada,108,25,364,36,26,4,25,2,0,4,8,3,2,0,1562,34, Hawai'i,160,24,419,47,36,12,109,2,0,7,9,4,1,1,2038,41
10/7/2006, New Mexico State,31,17,307,41,24,9,110,0,2,3,13,4,4,1,1808,20, Idaho,151,42,298,27,19,6,76,0,1,6,9,1,1,0,1792,28
10/7/2006, Louisiana-Monroe,130,35,93,25,15,5,41,0,2,9,12,3,3,1,1638,6, Arkansas State,172,38,200,36,19,5,44,2,3,8,16,9,0,0,1962,10
