"TEAM","Points.For","Points.Against","Conf.Points.For","Conf.Points.Against","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"Old Dominion",348,282,229,165,0.684996585532437,0.315003414467563,0.622083279618234,0.377916720381766,0.982247931351517,0.434718060457624,0.443324655699889,0.291133002006572,115,0.552511585015032,58
"Ole Miss",354,315,197,202,0.485153963726392,0.514846036273608,0.568721432330241,0.431278567669759,1.025,0.607086639380552,0.634416394406813,1,1,0.605385246847992,44
"Oregon",371,435,242,346,0.300004278660701,0.699995721339299,0.406809348719167,0.593190651280833,1.02160816194681,0.567174480274378,0.587887788815339,0.835860963837959,17,0.477263488459381,81
"Oregon State",238,325,154,250,0.240802527659533,0.759197472340467,0.323357578902703,0.676642421097297,1.02160816194681,0.585737033681639,0.627453981109754,0.912199595803948,8,0.433900530672154,94
"Penn State",355,261,249,179,0.686166776849825,0.313833223150175,0.674587063387464,0.325412936612536,1.02003770631759,0.582499803740629,0.613818169280457,0.898886464811995,9,0.667442053062476,21
"Pittsburgh",376,352,225,234,0.476778445104913,0.523221554895086,0.539000709594872,0.460999290405128,1.00947282299374,0.558135191220364,0.580729031008562,0.798686823772798,19,0.55814777004912,57
"Purdue",251,384,162,308,0.179059398607698,0.820940601392302,0.267430326334577,0.732569673665423,1.02003770631759,0.477711547709939,0.474204012578229,0.467944021928272,81,0.343094668888355,115
"Rice",242,383,153,270,0.2065050728263,0.7934949271737,0.251983672279909,0.748016327720091,0.982247931351517,0.456050504362323,0.486691206376177,0.378862828202727,101,0.324357437444191,116
"Rutgers",175,380,73,290,0.0366420374962624,0.963357962503738,0.137327906834713,0.862672093165287,1.02003770631759,0.561950277872504,0.610492153202818,0.814376394569787,18,0.300961433960013,123
"San Diego State",368,152,226,42,0.981807591335755,0.0181924086642455,0.890470858305306,0.109529141694694,0.982557525002033,0.363925962679779,0.320193413419774,0,128,0.688162044352494,16
"San Jose State",239,361,136,203,0.279024394064872,0.720975605935128,0.273403586153278,0.726596413846722,0.982557525002033,0.483459577862587,0.50508331044727,0.491582836520492,77,0.344514303102598,113
"SMU",274,325,195,217,0.436999670059981,0.563000329940019,0.400219149144267,0.599780850855733,0.995521759117377,0.523412015159994,0.54966609237517,0.655887517028398,44,0.448019432661875,91
"South Alabama",212,233,108,149,0.318059977529298,0.681940022470702,0.444269608696672,0.555730391303328,0.975,0.461711483699341,0.494105561096351,0.402143645700961,96,0.449359553009151,89
"South Carolina",180,211,126,168,0.33585822723678,0.66414177276322,0.406948152524288,0.593051847475712,1.025,0.537501100735889,0.533743709785216,0.713828980948702,31,0.460443671734879,86
"South Florida",440,314,204,157,0.650364507966777,0.349635492033223,0.689887782453794,0.310112217546206,0.995521759117377,0.472021130252852,0.450689323222805,0.444542139953379,86,0.607422541811387,42
"Southern Miss",337,310,196,193,0.509137981069231,0.490862018930769,0.549319159147437,0.450680840852564,0.982247931351517,0.449250621516342,0.440091294247481,0.350898261981566,105,0.503804659609683,69
"Stanford",231,194,188,171,0.55592127148706,0.44407872851294,0.601976207141186,0.398023792858814,1.02160816194681,0.589864768590015,0.607638335997206,0.929174934762456,6,0.616911965530986,34
"Syracuse",233,342,116,216,0.186426217905705,0.813573782094295,0.287093912863592,0.712906087136408,1.00947282299374,0.521137298162969,0.543320601955605,0.646532727315323,46,0.37603146240408,107
"TCU",337,263,207,178,0.588487557186065,0.411512442813935,0.642812330739072,0.357187669260928,1.0199203187251,0.490351100993222,0.487188451368677,0.519924274059405,69,0.602709371698255,45
"Temple",325,204,199,122,0.761260490164606,0.238739509835395,0.750956714960865,0.249043285039135,0.995521759117377,0.463370489623376,0.47560576743893,0.408966319278553,95,0.656221130014955,24
"Tennessee",338,269,190,213,0.432706930974572,0.567293069025428,0.632080548237615,0.367919451762385,1.025,0.572492805018584,0.601755879143815,0.857732611903616,14,0.637521633336507,28
"Texas",353,323,219,219,0.5,0.5,0.552429878951913,0.447570121048087,1.0199203187251,0.557619683627586,0.570765031108215,0.796566795157267,20,0.569667922957613,54
"Texas A&M",363,222,213,188,0.573438705411463,0.426561294588537,0.762310603140428,0.237689396859573,1.025,0.525936686087963,0.518038989676105,0.666270244047519,42,0.697908900285295,15
"Texas State",192,367,82,190,0.120095889324074,0.879904110675926,0.177198625316343,0.822801374683657,0.975,0.445435947164007,0.45172398650203,0.335210386770442,109,0.261989402068783,128
"Texas Tech",460,421,277,291,0.470819534025461,0.529180465974539,0.552299741011857,0.447700258988143,1.0199203187251,0.520391816047044,0.544019560566148,0.643466926849391,47,0.560486686458174,55
"Toledo",394,229,213,144,0.716629737751466,0.283370262248535,0.783474553442293,0.216525446557707,0.984925005858917,0.42895199536754,0.404365320950635,0.267420018606795,120,0.647198958128458,27
"Troy",343,194,173,85,0.843462203662063,0.156537796337937,0.794227266010305,0.205772733989695,0.975,0.447037289033697,0.421955573703397,0.341795916517343,108,0.653383284360302,26
"Tulane",251,288,96,176,0.19208143350378,0.80791856649622,0.419240284901619,0.580759715098381,0.995521759117377,0.485618557480174,0.513368478843782,0.500461655443352,73,0.448598380990078,90
"Tulsa",422,321,228,159,0.701457116639123,0.298542883360877,0.656637896145209,0.343362103854791,0.995521759117377,0.492845014832391,0.49392675362463,0.530180512333646,64,0.59970315253025,48
"UCF",310,206,181,111,0.761123943228151,0.238876056771849,0.724842319723446,0.275157680276554,0.995521759117377,0.456424201066289,0.460714668097912,0.38039965853663,99,0.633948026421207,31
"UCLA",285,278,202,212,0.471402487718663,0.528597512281337,0.514730065822131,0.485269934177869,1.02160816194681,0.585857787072708,0.61443125059462,0.912696194977416,7,0.559804284483087,56
"UNLV",344,354,209,222,0.464307509026349,0.535692490973651,0.483028283496871,0.516971716503129,0.982557525002033,0.43388126315554,0.411615145002257,0.287691667192745,117,0.451213902534701,88
"USC",314,225,263,166,0.748493558772948,0.251506441227052,0.687810593333214,0.312189406666786,1.02160816194681,0.580322982216435,0.592975486349295,0.88993427092222,10,0.670378142911397,19
"Utah",312,230,234,194,0.60928011073906,0.39071988926094,0.673194608532518,0.326805391467482,1.02160816194681,0.48642518551624,0.449338905775955,0.503778918937641,71,0.611510168977259,38
"Utah State",240,286,154,215,0.311989522990418,0.688010477009582,0.397573380302513,0.602426619697487,0.982557525002033,0.5064770918446,0.539405110021738,0.58624252530865,55,0.437091327663288,93
