Visitor,Visitor Score,Home,Home Score
 Navy,16, Northern Illinois,0
 Western Michigan,22, Ball State,45
 Texas A&M,9, Texas,49
 Akron,6, Temple,27
 Bowling Green,38, Toledo,10
 Fresno State,10, Boise State,61
 UCLA,9, Arizona State,34
 Central Michigan,52, Eastern Michigan,56
 Colorado,31, Nebraska,40
 Kent State,24, Buffalo,21
 LSU,30, Arkansas,31
 Mississippi State,0, Mississippi,45
 Ohio,41, Miami (Ohio),26
 UTEP,21, East Carolina,53
 West Virginia,15, Pittsburgh,19
 UAB,15, UCF,0
 Arkansas State,33, North Texas,28
 Auburn,0, Alabama,36
 Baylor,28, Texas Tech,35
 Florida International,50, Florida Atlantic,57
 Florida,45, Florida State,15
 Georgia Tech,45, Georgia,42
 Houston,42, Rice,56
 Kansas,40, Missouri,37
 Kentucky,10, Tennessee,28
 Maryland,21, Boston College,28
 Miami (Florida),28, North Carolina State,38
 North Carolina,28, Duke,20
 Nevada,35, Louisiana Tech,31
 New Mexico State,2, Utah State,47
 Notre Dame,3, USC,38
 Oklahoma,61, Oklahoma State,41
 Oregon,65, Oregon State,38
 South Carolina,14, Clemson,31
 Southern Mississippi,28, SMU,12
 Syracuse,10, Cincinnati,30
 Tulane,6, Memphis,45
 Tulsa,38, Marshall,35
 Vanderbilt,10, Wake Forest,23
 Virginia,14, Virginia Tech,17
 Washington State,10, Hawai'i,24
 Middle Tennessee,28, Louisiana-Lafayette,42
 Louisville,14, Rutgers,63
 Ball State,24, Buffalo,42
 Alabama,20, Florida,31
 Arizona State,10, Arizona,31
 Arkansas State,9, Troy,35
 Boston College,12, Virginia Tech,30
 Cincinnati,29, Hawai'i,24
 East Carolina,27, Tulsa,24
 Missouri,21, Oklahoma,62
 Pittsburgh,34, Connecticut,10
 South Florida,7, West Virginia,13
 USC,28, UCLA,7
 Navy,34, Army,0
 Washington,7, California,48
 Western Kentucky,3, Florida International,27
 BYU,21, Arizona,31
 Colorado State,40, Fresno State,35
 Memphis,14, South Florida,41
 Wake Forest,29, Navy,19
 Southern Mississippi,30, Troy,27
 Boise State,16, TCU,17
 Notre Dame,49, Hawai'i,21
 Florida Atlantic,24, Central Michigan,21
 Miami (Florida),17, California,24
 West Virginia,31, North Carolina,30
 Wisconsin,13, Florida State,42
 Northern Illinois,10, Louisiana Tech,17
 Missouri,30, Northwestern,23
 North Carolina State,23, Rutgers,29
 Maryland,42, Nevada,35
 Oklahoma State,31, Oregon,42
 Western Michigan,14, Rice,38
 Boston College,14, Vanderbilt,16
 Houston,34, Air Force,28
 Kansas,42, Minnesota,21
 LSU,38, Georgia Tech,3
 Oregon State,3, Pittsburgh,0
 Cincinnati,7, Virginia Tech,20
 Georgia,24, Michigan State,12
 Nebraska,26, Clemson,21
 Penn State,24, USC,38
 South Carolina,10, Iowa,31
 Kentucky,25, East Carolina,19
 Mississippi,47, Texas Tech,34
 Utah,31, Alabama,17
 Buffalo,20, Connecticut,38
 Ohio State,21, Texas,24
 Ball State,13, Tulsa,45
 Florida,24, Oklahoma,14
