Visitor,Visitor Score,Home Team,Home Score
Syracuse,,Boston College,
Tennessee,,Vanderbilt,
Texas Tech,,Baylor,
UAB,,Southern Miss,
New Mexico State,,Arkansas State,
Oregon,,Oregon State,
Utah,,Colorado,
Hawaii,,Fresno State,
UCF,,East Carolina,
Northern Illinois,,Bowling Green,
Oregon,,Arizona,
TCU,,Iowa State,
Marshall,,Louisiana Tech,
Cincinnati,,Houston,
SMU,,Connecticut,
Oklahoma State,,Oklahoma,
Alabama,,Missouri,
Temple,,Tulane,
Baylor,,Kansas State,
Florida State,,Georgia Tech,
Ohio State,,Wisconsin,
Boise State,,Fresno State,
Army,,Navy,
